Date Collected,Plot,Species,Sex,Weight (g),,
7/16/13,2,DM,F,,,
7/16/13,1,DM,M,33,,
7/16/13,3,DM,M,,,
7/16/13,1,DM,M,,,
7/18/13,3,DM,M,40,,
7/18/13,4,DM,M,48,,
7/18/13,2,DM,F,29,,
7/18/13,1,DM,F,46,,
7/18/13,4,DM,M,36,,
7/18/13,2,DM,F,35,,
7/18/13,1,DM,F,22,,
7/18/13,3,DM,F,42,,
7/18/13,1,DM,F,41,,
7/18/13,4,DM,F,37,,
8/19/13,4,DO,F,52,,
10/17/13,3,DO,F,33,,
10/17/13,3,DO,F,50,,
10/17/13,1,DO,F,48,,
10/17/13,17,DO,F,31,,
10/18/13,4,DO,F,41,,
11/12/13,1,DO,F,44,,
11/12/13,1,DO,M,48,,
11/12/13,4,DS,F,117,,
11/12/13,1,DS,F,121,,
11/12/13,20,DS,M,115,,
11/12/13,3,DS,F,120,,
11/13/13,1,DS,F,118,,
11/13/13,3,DS,F,126,,
11/13/13,2,DS,M,132*,,
11/13/13,1,DS,F,113*,,
11/13/13,3,DS,F,122,,
11/13/13,4,DS,F,107,,
11/13/13,4,DS,F,115,,
11/14/13,2,DO,F,39,,
12/10/13,3,DO,F,40,,
12/10/13,1,DO,M,45,,
12/11/13,2,DO,F,41,,
1/8/14,2,NA,,,,
1/8/14,2,DM,M,44,,
1/8/14,2,DM,M,38,,
1/8/14,2,OL,,,,
1/8/14,2,PE,M,22,,
1/8/14,2,DM,M,38,,
1/8/14,2,DM,M,48,,
1/8/14,2,DM,M,43,,
1/8/14,2,DM,F,35,,
1/8/14,2,DM,M,43,,
1/8/14,2,DM,F,37,,
1/8/14,2,PF,F,7,,
1/8/14,2,DM,M,45,,
1/8/14,2,OT,,,,
1/8/14,2,DS,M,157*,,
1/8/14,2,OX,,,,
1/9/14,1,DM,M,40,,
1/9/14,1,DM,F,36,,
1/9/14,1,DS,F,135,,
1/20/14,1,DM,F,39,,
1/20/14,1,DM,M,43,,
1/20/14,1,DS,F,144,,
2/18/14,2,NA,M,218*,,
2/18/14,2,PF,F,7,,
2/18/14,2,DM,M,52,,
3/13/14,1,DM,F,51,,
3/13/14,1,DM,F,44,,
3/13/14,1,DS,F,146,,
1/18/15,3,PF,F,7,,
2/18/15,3,OT,M,24,,
2/18/15,3,OT,F,23,,
3/11/15,3,NA,,232,,
3/11/15,3,OT,M,22,,
3/11/15,3,OT,M,26,,
3/11/15,3,PF,F,8,,
4/8/15,3,NA,,,,
5/6/15,3,,,,,
5/18/15,3,NA,,182,,
6/9/15,3,OT,M,29,,
7/8/15,3,NA,,115,,
7/8/15,3,NA,,190,,
